time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093904075307,872.87,-179.929,1118.26,0,0,0
18093904300881,872.87,-179.929,1118.26,0,0,0
18093904516955,872.87,-179.929,1118.26,0,0,0
18093904732826,872.87,-179.929,1118.26,0,0,0
18093904948030,872.87,-179.929,1118.26,0,0,0
18093905163215,872.87,-179.929,1118.26,0,0,0
18093905378900,872.87,-179.929,1118.26,0,0,0
18093905600030,872.87,-179.929,1118.26,0,0,0
18093905815955,872.87,-179.929,1118.26,0,0,0
18093906031418,872.87,-179.929,1118.26,0,0,0
18093906247659,872.87,-179.929,1118.26,0,0,0
18093906463474,872.87,-179.929,1118.26,0,0,0
18093906679604,872.87,-179.929,1118.26,0,0,0
18093906895511,872.87,-179.929,1118.26,0,0,0
18093907111455,872.87,-179.929,1118.26,0,0,0
18093907327141,872.87,-179.929,1118.26,0,0,0
18093907543141,872.87,-179.929,1118.26,0,0,0
18093907759770,872.87,-179.929,1118.26,0,0,0
18093907976641,872.87,-179.929,1118.26,0,0,0
18093908207122,872.87,-179.929,1118.26,0,0,0
18093908423289,872.87,-179.929,1118.26,0,0,0
18093908639196,872.87,-179.929,1118.26,0,0,0
18093908854955,872.87,-179.929,1118.26,0,0,0
18093909070844,872.87,-179.929,1118.26,0,0,0
18093909286344,872.87,-179.929,1118.26,0,0,0
18093909502530,872.87,-179.929,1118.26,0,0,0
18093909718067,872.87,-179.929,1118.26,0,0,0
18093909933900,872.87,-179.929,1118.26,0,0,0
18093910149418,872.87,-179.929,1118.26,0,0,0
18093910365252,872.87,-179.929,1118.26,0,0,0
18093910587363,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093910805863,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093911023289,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093911240511,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093911459307,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093911677067,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093911895270,872.87,-179.929,1118.26,243.416,1.73956,37.6598
18093912075067,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093912303567,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093912522530,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093912740530,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093912958789,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093913175900,869.208,-124.265,1066.99,243.416,1.73956,37.6598
