Dictionary,Rotation Vector,Translation Vector
0,[[[-0.5716294  -3.12496936  1.00674689]]],[[[-0.75972906 -0.28849433  1.67975977]]]
0,[[[-0.55909993 -3.12533104  1.0983177 ]]],[[[-0.75668846 -0.28844247  1.6723874 ]]]
0,[[[ 0.49192726  2.74626106 -0.93670155]]],[[[-0.75284682 -0.28667592  1.66388734]]]
0,[[[-0.57203146 -3.12537483  1.00643572]]],[[[-0.7611099  -0.28855612  1.68011985]]]
0,[[[ 0.49529139  2.79139356 -0.88404152]]],[[[-0.7705507  -0.29201411  1.70026855]]]
0,[[[-0.55879741 -3.11761728  1.06178008]]],[[[-0.75568783 -0.28744222  1.66483136]]]
0,[[[-0.59168292 -3.13573646  1.02433218]]],[[[-0.75411211 -0.28751694  1.66003443]]]
0,[[[ 0.49268423  2.745954   -0.93470674]]],[[[-0.7569054  -0.28804999  1.66485486]]]
0,[[[ 0.49294156  2.74567685 -0.93423578]]],[[[-0.75827976 -0.28811356  1.6652226 ]]]
4,[[[ 2.63536537 -0.50445212  0.31810503]]],[[[-0.29534787 -0.14745287  0.74792566]]]
4,[[[ 2.62897767 -0.54100465  0.35303378]]],[[[-0.29414793 -0.16084814  0.78146411]]]
4,[[[ 2.62780384 -0.5400574   0.37879623]]],[[[-0.29175514 -0.15979042  0.77700528]]]
4,[[[ 2.60712772 -0.54484287  0.35129966]]],[[[-0.29344292 -0.16106003  0.78109497]]]
4,[[[ 2.64691833 -0.54977175  0.32456169]]],[[[-0.29650671 -0.162281    0.78845513]]]
4,[[[ 2.63844214 -0.53621864  0.31193667]]],[[[-0.29768579 -0.16262589  0.79081885]]]
4,[[[ 2.62498685 -0.53393888  0.38060131]]],[[[-0.29533735 -0.16077824  0.78389467]]]
4,[[[ 2.62296769 -0.5475695   0.35404801]]],[[[-0.29890565 -0.16268654  0.79180851]]]
4,[[[ 2.62296769 -0.5475695   0.35404801]]],[[[-0.29890565 -0.16268654  0.79180851]]]
4,[[[ 2.63149971 -0.56148338  0.33721192]]],[[[-0.29967611 -0.16330923  0.79344865]]]
4,[[[ 2.6641852  -0.54529658  0.35450952]]],[[[-0.30333864 -0.16550714  0.80277056]]]
4,[[[ 2.62273694 -0.56743813  0.32393483]]],[[[-0.29947564 -0.16376199  0.79214563]]]
4,[[[ 2.62651007 -0.55467957  0.3242216 ]]],[[[-0.29837145 -0.16351118  0.78885204]]]
4,[[[ 2.65336506 -0.55060664  0.36703001]]],[[[-0.30153705 -0.16487313  0.79687165]]]
4,[[[ 2.62671051 -0.55493627  0.32469585]]],[[[-0.29900027 -0.16354228  0.78900271]]]
4,[[[ 2.63279265 -0.56205352  0.33723347]]],[[[-0.3009085  -0.16450451  0.79366475]]]
4,[[[ 2.63097287 -0.55607358  0.33979331]]],[[[-0.30379855 -0.16643759  0.800903  ]]]
4,[[[ 2.60561115 -0.55944701  0.32442042]]],[[[-0.29954326 -0.16438904  0.78892713]]]
4,[[[ 2.62536765 -0.56732629  0.34928675]]],[[[-0.29968048 -0.16487844  0.78855502]]]
4,[[[ 2.62433501 -0.56799616  0.32147559]]],[[[-0.30079768 -0.16657106  0.79184495]]]
4,[[[ 2.60695932 -0.55952994  0.32309638]]],[[[-0.29949128 -0.16607627  0.78878899]]]
4,[[[ 2.64173346 -0.56886302  0.37616977]]],[[[-0.30147953 -0.16711047  0.79444386]]]
4,[[[ 2.62512327 -0.56783745  0.32040898]]],[[[-0.30085715 -0.16689086  0.79200045]]]
4,[[[ 2.6127016  -0.56666698  0.33524249]]],[[[-0.3013921  -0.16704787  0.79342226]]]
4,[[[ 2.63427183 -0.56168253  0.36264147]]],[[[-0.29972669 -0.16577659  0.78944179]]]
4,[[[ 2.63427183 -0.56168253  0.36264147]]],[[[-0.29972669 -0.16577659  0.78944179]]]
4,[[[ 2.6127016  -0.56666698  0.33524249]]],[[[-0.3013921  -0.16704787  0.79342226]]]
4,[[[ 2.61251252 -0.5651292   0.38772218]]],[[[-0.29760562 -0.1655618   0.78500584]]]
